City_name,Cloudiness,Country,Date,Humidity,Lng,Lat,Max_Temp,Wind_speed
Itarema,64,BR,1544197776,94,-39.92,-2.92,28.37,2.33
Moose Factory,1,CA,1544194800,75,-80.61,51.26,-27.0,4.1
Atasu,0,KZ,1544197776,68,71.64,48.68,-17.08,2.23
Anchorage,90,US,1544196480,100,-149.89,61.22,1.7,2.58
Mulanje,75,MW,1544194800,55,35.5,-16.03,30.0,1.5
Nizwa,32,OM,1544197777,47,57.53,22.93,20.72,1.43
Kajaani,75,FI,1544196000,86,27.73,64.22,-2.0,4.1
Harrison,1,US,1544196900,74,-84.82,39.26,-1.7,1.18
Codrington,40,AU,1544194800,82,153.24,-28.95,21.0,2.08
Altamont,0,CA,1544195700,100,-98.5,49.4,-10.0,4.1
Sioux Lookout,90,CA,1544197200,84,-91.92,50.1,-18.0,1.0
Luancheng,0,CN,1544194800,31,114.65,37.88,-8.0,2.0
Morant Bay,20,JM,1544194800,54,-76.41,17.88,29.0,2.1
Kuryk,36,KZ,1544197780,80,51.68,43.18,7.0,4.23
Oxapampa,76,PE,1544197780,94,-75.4,-10.58,14.72,0.98
Zavetnoye,92,RU,1544197781,98,43.89,47.12,0.32,3.18
Sfantu Gheorghe,90,RO,1544194800,95,26.83,44.65,0.0,3.6
Kyshtovka,56,RU,1544197782,80,76.62,56.56,-16.78,2.33
Sao Joao da Barra,90,BR,1544194800,73,-41.05,-21.64,25.0,5.1
Port Moresby,20,PG,1544194800,88,147.16,-9.47,25.0,2.1
Grand Gaube,20,MU,1544194800,74,57.66,-20.01,27.0,1.0
San Cristobal,40,EC,1544194800,55,-78.55,-0.39,19.0,1.0
Guerrero Negro,80,MX,1544197783,100,-114.04,27.97,14.85,1.53
Manaus,75,BR,1544194800,100,-59.98,-3.13,23.0,1.0
Walvis Bay,0,NA,1544194800,56,14.51,-22.95,23.0,8.2
Pavlodar,0,KZ,1544196600,64,76.96,52.28,-17.0,3.0
Bethel,1,US,1544194560,96,-161.76,60.79,-5.6,4.1
Aden,0,YE,1544197717,100,45.03,12.79,26.07,3.63
Gouyave,20,GD,1544194800,70,-61.73,12.16,29.0,9.3
Kingaroy,92,AU,1544194800,82,151.84,-26.54,17.0,4.1
Fare,80,PF,1544197786,100,-151.02,-16.7,26.2,9.28
Samarai,24,PG,1544197786,100,150.67,-10.62,28.35,5.23
Yulara,68,AU,1544194800,32,130.99,-25.24,28.0,3.1
Seoul,1,KR,1544196600,56,126.98,37.57,-7.6,1.0
Severo-Kurilsk,88,RU,1544197787,100,156.12,50.68,-0.81,6.08
Broken Hill,76,AU,1544194800,19,141.45,-31.97,27.0,4.1
Macusani,80,PE,1544197788,100,-70.43,-14.07,13.5,0.93
Fairlie,90,US,1544196900,100,-95.96,33.31,9.1,3.1
Saskylakh,64,RU,1544197789,81,114.09,71.97,-18.58,3.83
